,0,1
0,player_2,"{0: {'name': 'player_1', 'move': None}}"
1,player_2,"{1: {'name': 'player_1', 'move': None}}"
2,player_1,"{2: {'name': 'player_1', 'move': 2}}"
3,player_1,"{3: {'name': 'player_1', 'move': 1}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
4,player_2,"{4: {'name': 'player_1', 'move': 1}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': None}}"
5,player_1,"{5: {'name': 'player_1', 'move': 2}, 3: {'name': 'player_2', 'move': 1}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': None}}"
6,player_2,"{6: {'name': 'player_1', 'move': 1}, 5: {'name': 'player_2', 'move': 1}, 4: {'name': 'player_1', 'move': 2}, 2: {'name': 'player_2', 'move': 2}}"
7,player_1,"{7: {'name': 'player_1', 'move': 1}, 6: {'name': 'player_2', 'move': 1}, 5: {'name': 'player_1', 'move': 2}, 3: {'name': 'player_2', 'move': 2}, 1: {'name': 'player_1', 'move': 1}}"
8,player_2,"{8: {'name': 'player_1', 'move': 1}, 7: {'name': 'player_2', 'move': 1}, 6: {'name': 'player_1', 'move': 2}, 4: {'name': 'player_2', 'move': 2}, 2: {'name': 'player_1', 'move': 1}, 1: {'name': 'player_2', 'move': 1}}"
9,player_1,"{9: {'name': 'player_1', 'move': 1}, 8: {'name': 'player_2', 'move': 1}, 7: {'name': 'player_1', 'move': 1}, 6: {'name': 'player_2', 'move': 2}, 4: {'name': 'player_1', 'move': 2}, 2: {'name': 'player_2', 'move': 1}, 1: {'name': 'player_1', 'move': 1}}"
